Address,Housing_price,Baths,Housing_type,ZipCode,Beds,Location,Housing_area
314 W 56th St #6C,"$610,000",NA,NA,10019,NA,"40.766254,-73.98438",NA
11 Riverside Dr #6PE,"$1,595,000",2 ba,Coop,10023,2 bd,"40.781128,-73.98448",NA
167 Perry St,"$1,275,000",1 ba,Coop,10014,1 bd,"40.73489,-74.00952",NA
326 E 73rd St,"$325,000",1 ba,Coop,10021,1 bd,"40.7687,-73.95663",NA
Address Not Disclosed,"$1,699,000",NA,NA,10007,NA,"40.71639,-74.01065",NA
10 W 66th St #22H,"$799,000",1 ba,Coop,10023,NA,"40.772427,-73.97915",NA
19 W 85th St #PARLOR 1A,"$649,000",1 ba,Coop,10024,NA,"40.785084,-73.970345",NA
131 W 85th St #6D,"$425,000",1 ba,Coop,10024,NA,"40.786602,-73.97396",NA
955 Park Ave #6-E,"$3,195,000",NA,NA,10028,NA,"40.777218,-73.95888",NA
345 E 57th St,"$2,245,000",2 ba,Coop,10022,2 bd,"40.758774,-73.96329",NA
413 Grand St #F301,"$1,325,000",NA,NA,10002,NA,"40.71566,-73.986374",NA
473 W End Ave #4C,"$2,650,000",2 ba,Coop,10024,2 bd,"40.7869,-73.97972",NA
140 Riverside Dr #5A,"$2,850,000",2 ba,Coop,10024,3 bd,"40.79017,-73.97969",NA
1230 Park Ave #6D,"$2,195,000",2.5 ba,Coop,10128,2 bd,"40.78646,-73.9531",NA
77 Park Ave #14A,"$1,749,000",1 ba,Condo,10016,1 bd,"40.74983,-73.97867",NA
34 W 13th St,"$5,250,000",1 ba,Coop,10011,2 bd,"40.735886,-73.995865",NA
176 W 86th St #7D,"$1,495,000",NA,NA,10024,NA,"40.787357,-73.974976",NA
105 E 16th St #9FLR,"$6,450,000",NA,NA,10003,NA,"40.735867,-73.98857",NA
175 E 62nd St #11D,"$3,200,000",NA,NA,10065,NA,"40.76383,-73.96579",NA
720 Fort Washington Ave #6W,"$899,000",NA,NA,10040,NA,"40.8578,-73.9344",NA
222 E 80th St #7AB,"$2,899,999",NA,NA,10075,NA,"40.774323,-73.95588",NA
53 E 66th St #2A,"$3,600,000",2 ba,Coop,10065,3 bd,"40.7679,-73.96747",NA
50 W 29th St #4WEST,"$2,975,000",NA,NA,10001,NA,"40.746197,-73.98931",NA
