HOA,Housing_area,Crime_level,Address,Housing_type,Beds,Postal_code,Built_year,Baths,Housing_price
$756,NA,Lowest,91 Payson Ave #7F,Coop,1 Bedroom,10034,Built in 1937,1 full Bathroom,NA
$628,"1,222 sqft",Lowest,2 Hubert St #2E,Condo,2 Bedroom,10013,NA,1 full Bathroom,"$2,169/sqft"
$962,330 sqft,NA,24 5th Ave #304,Coop,NA,10011,Built in 1925,1 full Bathroom,"$1,209/sqft"
$959,590 sqft,Moderate,140 E 28th St #1J,Coop,NA,10016,Built in 1931,1 full Bathroom,
$964,490 sqft,Low,200 W 20th St #304,Coop,NA,10011,Built in 1938,1 full Bathroom,
$964,NA,Lowest,516 E 82nd St #4W,Coop,1 Bedroom,10028,Built in 1920,1 full Bathroom,NA
"$1,049",500 sqft,Low,225 E 73rd St #4F,Coop,NA,10021,Built in 1929,1 full Bathroom,
NA,NA,Low,444 E 87th St #4C,Coop,1 Bedroom,10128,NA,1 full Bathroom,NA
NA,"1,042 sqft",Lowest,2 S End Ave,Condo,2 Bedroom,10280,Built in 1989,2 full Bathroom,
"$1,245",805 sqft,Low,350 W 53rd St,Condo,1 Bedroom,10019,Built in 2005,2 full Bathroom,"$1,460/sqft"
NA,NA,Low,430 E 77th St #5E,Coop,NA,10075,NA,1 full Bathroom,NA
$845,NA,Low,145 E 29th St #4E,Coop,NA,10016,Built in 1965,1 full Bathroom,NA
NA,NA,Lowest,14 Bogardus Pl #2V,Coop,NA,10040,NA,1 full Bathroom,NA
NA,400 sqft,NA,4 Lexington Ave #9M,Coop,NA,10010,NA,1 full Bathroom,"$1,000/sqft"
NA,NA,NA,537 W 133rd St #34,Coop,2 Bedroom,10027,Built in 1905,1 full Bathroom,NA
NA,650 sqft,Lowest,70 Haven Ave #6D,Coop,1 Bedroom,10032,NA,1 full Bathroom,
"$1,314",741 sqft,Lowest,425 E 13th St #2A,Condo,1 Bedroom,10009,Built in 2007,,"$1,687/sqft"
NA,"1,250 sqft",Moderate,530 Grand St,Coop,3 Bedroom,10002,Built in 1949,2 full Bathroom,
"$1,097",874 sqft,Lowest,120 Riverside Blvd #15W,Condo,1 Bedroom,10069,Built in 2005,1 full Bathroom,"$1,482/sqft"
